trial_id,cos_045,real_045,imag_045,abs_045
s01_r0_t000,-0.7372700026697873,-71.10391817159153,-65.15615685150287,96.44216896674415
s01_r0_t001,0.8680812509474208,47.15642780581318,-26.966939802531584,54.32259682414154
s01_r0_t002,-0.3063604314349451,-13.50999363188292,41.9779194959645,44.098363383953306
s01_r0_t003,0.513046182064221,33.19717659535959,55.541124493103894,64.70602015162079
s01_r0_t004,-0.5534433225348008,-62.33659536246084,-93.81146692417143,112.6341087231043
s01_r0_t005,-0.07857786173280454,-8.225186958600432,-104.35196798834063,104.67562717052904
s01_r0_t006,-0.9972164967710112,-43.86618236818563,-3.2798110332860517,43.98862484748739
s01_r0_t007,0.9974598561120719,176.4041112909327,12.597415838982158,176.8533442323441
s01_r0_t008,0.9392543153799149,56.993696786163824,20.826616846484598,60.67972843234762
s01_r0_t009,-0.8766143974541052,-56.526014935140935,-31.02841095623458,64.482188633116
s01_r0_t010,0.9793384432823983,65.3629160505827,13.497090695624905,66.74190776327454
s01_r0_t011,-0.9645980187548958,-91.39729294698708,24.98835124437329,94.75169051763429
s01_r0_t012,0.8421992247320222,98.3936148004849,-62.990483602962215,116.82938182683861
s01_r0_t013,-0.7861831934161201,-245.6274303010561,-193.07988349621397,312.4302737047288
s01_r0_t014,-0.22931035097894456,-16.14786211621292,68.54281011072365,70.41924643731247
s01_r0_t015,0.9261634535909444,283.3846045617587,115.39071639133249,305.9768807147515
s01_r1_t016,-0.9801093523477203,-341.04063854737177,69.05587763532938,347.9618245968725
s01_r1_t017,-0.108525098115332,-20.623673183650652,-188.91357052641186,190.03597823734228
s01_r1_t018,0.6467614504923801,85.06852513180263,100.31691529548831,131.5299869326471
s01_r1_t019,0.8442191757548442,81.75094678632446,-51.90400187619813,96.83616427360614
s01_r1_t020,-0.18790443923740935,-57.14764540051058,-298.714030500632,304.13142782809376
s01_r1_t021,-0.9008571484661687,-390.1812780221119,-188.02514875041453,433.12225327450454
s01_r1_t022,0.6998300214016061,184.32681256366317,-188.14051087585233,263.3879755465434
s01_r1_t023,-0.9114484323883609,-326.6375993678373,-147.43937887844953,358.372001926555
s01_r1_t024,-0.2103703706099907,-19.84948480827825,-92.24344774774283,94.35494528398938
s01_r1_t025,-0.7264330162472339,-280.08033996730916,-264.96820142995296,385.55563101221543
s01_r1_t026,-0.13303948569247714,-29.744627750570643,221.59000248667155,223.57744090597137
s01_r1_t027,0.9743872626973661,180.07444171482746,41.55895768282866,184.80787732829444
s01_r1_t028,0.9469742362693123,116.97916974864819,39.691173523275324,123.52941111629166
s01_r1_t029,0.40045706536736775,201.68276381056353,-461.48529594154803,503.6314283169049
s01_r1_t030,-0.9331460311181311,-232.5131166678551,89.57643472004486,249.1712003417611
s01_r1_t031,-0.9954857332950173,-444.2120830710121,42.35193406163148,446.2264683600118
s01_r2_t032,-0.1718786291649514,-94.1045238086349,539.3577624699863,547.5056687723699
s01_r2_t033,0.2310810115675974,50.694743266880934,-213.44317737129953,219.3808263300396
s01_r2_t034,0.9148057962017615,277.6990351742482,-122.60631909856968,303.5606424087428
s01_r2_t035,0.5504468954135148,44.4090145911711,67.35574722611665,80.67810893512173
s01_r2_t036,0.5004228578064452,125.80604536737499,217.65692413498957,251.39947827090378
s01_r2_t037,-0.15503391885731505,-21.576369490041635,137.48922138665546,139.17192862743389
s01_r2_t038,0.6877592058062605,116.20699337514517,122.65801067300984,168.96464982815556
s01_r2_t039,0.67226692549,144.8529634756565,-159.513915561241,215.4694184457706
s01_r2_t040,0.1335354474238126,14.512790325014421,-107.7078378564901,108.681182450035
s01_r2_t041,0.8170518735496449,84.26247705618799,-59.46100396541162,103.12989882773716
s01_r2_t042,0.8447954179895316,87.44251820956394,55.38567862476526,103.50733011509718
s01_r2_t043,0.5245999013438946,18.205954275036724,-29.545600449819176,34.70445615486696
s01_r2_t044,0.2256011390376637,18.96803900571095,81.91021704696276,84.07776257966621
s01_r2_t045,-0.9844894071859301,-380.5697735994838,-67.8206324221073,386.56563577185307
s01_r2_t046,0.8448819089706944,33.212092025779725,21.028860185845787,39.30974456091913
s01_r2_t047,0.8014979847542923,433.15884834751904,-323.1797242560528,540.4366031940909
s01_r3_t048,0.9339795520415713,107.71064612077187,41.20846478858405,115.32441570624202
s01_r3_t049,0.15090005382353291,10.414278834655711,68.22413194409827,69.01441431448714
s01_r3_t050,-0.34696389875429434,-82.5461077586409,223.1304720174991,237.90978846792558
s01_r3_t051,-0.33635126446756175,-19.031608878582617,-53.28584894026784,56.582540008313416
s01_r3_t052,-0.8700280235776919,-103.52104472310756,58.6603059377919,118.98587392324762
s01_r3_t053,-0.30989594574824864,-103.21170086875492,-316.65673452430536,333.0527626605396
s01_r3_t054,-0.015878535493974298,-3.0034647445998672,-189.12865693799398,189.1525037519765
s01_r3_t055,-0.22939132525106135,-164.02289042864527,-695.9683489477554,715.0352797741047
s01_r3_t056,0.9606969895112796,347.4054199467389,-100.38488124208607,361.61809992083874
s01_r3_t057,0.9755571530258428,75.49881274488402,17.006231950349743,77.39045581359602
s01_r3_t058,-0.9867849163173001,-585.203681239012,-96.09370377994271,593.0407645700576
s01_r3_t059,-0.9090247310800966,-456.7964910535657,209.41824301695425,502.5127209804329
s01_r3_t060,-0.9733409976629332,-360.6922739325558,-84.99528589559866,370.57133604626307
s01_r3_t061,0.319694058824901,76.62330159645582,-227.09891452254124,239.6769645269606
s01_r3_t062,-0.3372470994521616,-84.25398428803717,-235.19272018104343,249.82864026081438
s01_r3_t063,0.9721497424217116,349.43928069498384,84.24092151397016,359.4500573795344
s01_r4_t064,-0.902511091301998,-247.51511753682476,-118.11101042309525,274.2516074564244
s01_r4_t065,0.6387935616822114,194.70030652318866,-234.50168673901345,304.79378347280317
s01_r4_t066,0.715278683537713,23.510517910116363,-22.970172172657485,32.86903196085079
s01_r4_t067,-0.5742403280043142,-131.91997645611636,-188.07655198080496,229.7295575087601
s01_r4_t068,0.6703959662395562,42.849904713866636,47.42686776973706,63.917306892856296
s01_r4_t069,0.8546705751936181,72.22703586943942,43.87440180375597,84.50862585631548
s01_r4_t070,0.02014022702302358,5.864587372586357,-291.1286860191025,291.18774906966786
s01_r4_t071,-0.45389423217576985,-191.75274054030646,-376.4364803615425,422.4612849146109
s01_r4_t072,0.8454581839092242,209.4518893139783,-132.30225912428247,247.73772766089508
s01_r4_t073,-0.023946827460957172,-5.952556185509891,-248.50261280590712,248.57389544460264
s01_r4_t074,-0.7660813010897286,-159.26953703652953,133.6274471672786,207.90161149994552
s01_r4_t075,-0.5032334218779125,-32.09497795141702,-55.11337426215158,63.77751666741139
s01_r4_t076,-0.5862350838953686,-154.91839551342372,-214.08773718849946,264.2598503044789
s01_r4_t077,0.3577037599153094,42.454168952963144,-110.83247688931638,118.68527454957328
s01_r4_t078,0.6364865170964621,259.1824349801405,-314.0746142311559,407.2080523598277
s01_r4_t079,-0.9835765403082294,-207.35533057653444,-38.05080498132941,210.81768635062627
s01_r5_t080,-0.5163576936078071,-30.75550063760673,-51.00762704043177,59.56239447642794
s01_r5_t081,0.6358838624175934,4.869057566139038,-5.909670995140296,7.657149133533858
s01_r5_t082,0.4034296968216601,15.155279104209399,34.373378587178706,37.56609695222544
s01_r5_t083,-0.2990431316011711,-23.738467593096424,-75.74889144026554,79.38141720892632
s01_r5_t084,0.6379848722408014,107.25111793918668,-129.452293614474,168.10918660576917
s01_r5_t085,0.8017457625935654,73.16940621637949,54.544485724038225,91.26260421967676
s01_r5_t086,-0.9451840961841327,-138.6731482365392,-47.90817358183544,146.71549044930615
s01_r5_t087,0.11723869176362672,20.09468659186843,170.21777215159193,171.39978525504833
s01_r5_t088,-0.7506096514615894,-37.59997792983693,33.09847055838125,50.09258521606022
s01_r5_t089,0.7306777107894757,178.39817216546288,-166.68970952226684,244.1543919174829
s01_r5_t090,-0.672915229147401,-86.37479075273541,94.94974010255595,128.35909637856503
s01_r5_t091,0.0025811718017913067,0.42379140622833233,164.1851170804673,164.18566402059207
s01_r5_t092,-0.5291088669810304,-93.55376383842261,-150.03607167027388,176.81382731727433
s01_r5_t093,0.7271484986968637,237.442801006575,-224.1629888504299,326.5396290195203
s01_r5_t094,0.7786227805119386,104.13080623779541,83.91904142671785,133.73716881148815
